package,declared_version,locked_version,declaration,priority,recommendation,reason,risk,evidence
@babel/core,^7.29.7,7.29.7,dependencies,3,Move build tooling to dev after deployment changes,Required for bundle build; production postinstall and Azure production-only installs currently need these. Ten-root scenario including file-loader reduces production installed records by262 including unused cleanup.,Medium deployment risk; no automatic server RAM saving,tests/dependency-babel.test.js:10; tests/dependency-babel.test.js:27
@babel/preset-env,^7.29.7,7.29.7,dependencies,3,Move build tooling to dev after deployment changes,Required for bundle build; production postinstall and Azure production-only installs currently need these. Ten-root scenario including file-loader reduces production installed records by262 including unused cleanup.,Medium deployment risk; no automatic server RAM saving,tests/dependency-babel.test.js:22; tests/dependency-babel.test.js:28
@mongodb-js/saslprep,^1.4.5,1.4.11,dependencies,Keep,Retain intentional production dependency,MongoDB marks this optional. Root declaration prevents Docker omit=optional from removing password SASL normalization.,High compatibility risk if removed,"package.json/scripts, .babelrc, .eslintrc.js, webpack/webpack.config.js"
@parse/node-apn,^5.1.3,5.2.3,dependencies,1,Retain feature; defer loading until enabled,Eager imports load optional integration graphs before configuration checks. Connector guard must follow BRIDGE-to-CONNECT migration.,Low-medium; enabled/disabled integration tests,lib/server/loop.js:3; tests/loop-server.test.js:3; tests/notifications-v2.test.js:6
acorn,^8.0.5,8.16.0,dependencies,1,Remove unused direct declaration,No application/test/config/script use found. This PR removes four declarations and three installed records; acorn and acorn-jsx remain transitively required.,Low; validate install/build/tests,Tracked-source/config/script scan plus isolated lockfile removal
acorn-jsx,^5.3.1,5.3.2,dependencies,1,Remove unused direct declaration,No application/test/config/script use found. This PR removes four declarations and three installed records; acorn and acorn-jsx remain transitively required.,Low; validate install/build/tests,Tracked-source/config/script scan plus isolated lockfile removal
async,^0.9.2,0.9.2,dependencies,3,Replace six operations incrementally with promises,"Promise.all, serial await and bounded concurrency helper can cover five files. Preserve10-task limit, failure ordering and callback contracts.",Medium; data loads and writes,lib/data/dataloader.js:3; lib/plugins/alexa.js:1; lib/plugins/googlehome.js:1; lib/plugins/maker.js:3; lib/server/treatments.js:4
babel-loader,^9.2.1,9.2.1,dependencies,3,Move build tooling to dev after deployment changes,Required for bundle build; production postinstall and Azure production-only installs currently need these. Ten-root scenario including file-loader reduces production installed records by262 including unused cleanup.,Medium deployment risk; no automatic server RAM saving,tests/dependency-babel.test.js:29; tests/dependency-babel.test.js:100
body-parser,^1.20.6,1.20.6,dependencies,2,Use existing Express parser exports,Functions are identical to express.json/raw/text/urlencoded. Simplifies imports/direct manifest only; Express still requires body-parser.,Low; no installed-package or RAM saving,lib/api/notifications-api.js:4; lib/api3/index.js:4; lib/middleware/index.js:5; lib/server/app.js:5; tests/api.alexa.test.js:7; tests/dependency-express.test.js:6; tests/dependency-express.test.js:30
bootevent,0.0.1,0.0.1,dependencies,3,Replace small boot-chain wrapper locally,"Fourteen ordered acquire stages; preserve .boot outward contract, stage errors, asynchronous completion and teardown.",Medium; every server startup,lib/server/bootevent.js:412; tests/dependency-axios.test.js:16
braces,^3.0.2,3.0.3,dependencies,Keep,Retain legacy entries route expansion,Active expansion of date/prefix patterns; cannot remove based on package-name scanning.,Medium API compatibility,lib/api/entries/index.js:9
buffer,^6.0.3,6.0.3,dependencies,2,Remove browser stream chain after bus conversion,"Only browser stream consumer is event-only lib/bus.js. EventEmitter probe saves20,662 gzip bytes. Declare events explicitly; net one fewer direct dependency for these two.",Medium; lifecycle/teardown/reconnect tests,webpack/webpack.config.js:177
compression,^1.7.4,1.8.1,dependencies,Keep,Retain HTTP compression middleware,"Native zlib is a primitive, not full content negotiation/header/stream middleware.",Medium HTTP correctness,lib/middleware/index.js:6; lib/server/app.js:4
css-loader,^5.0.1,5.2.7,dependencies,3,Move build tooling to dev after deployment changes,Required for bundle build; production postinstall and Azure production-only installs currently need these. Ten-root scenario including file-loader reduces production installed records by262 including unused cleanup.,Medium deployment risk; no automatic server RAM saving,webpack/webpack.config.js:106; tests/dependency-postcss.test.js:27
cssmin,^0.4.3,0.4.3,dependencies,1,Remove ineffective runtime minification after parity tests,Middleware is mounted after successful static/bundle/page/API routes. Supplied cssmin option ignored by express-minify. Production assets already built.,Low-medium; DEBUG_MINIFY/static/error route parity,lib/server/app.js:371
csv-stringify,^5.5.1,5.6.5,dependencies,Keep,Retain public API serializers,APIv3 CSV/XML outputs are used and require quoting/escaping and malicious-input handling.,Medium-high output compatibility,lib/api3/shared/renderer.js:8
d3,^7.9.0,7.9.0,dependencies,2,Retain; narrow imports and split report bundle,"31-export build probe saves69,363 gzip bytes. D3 remains required for charts; isolated build success is not interaction validation.",Medium; hover/drag/touch/zoom regression tests,bundle/bundle.source.js:9; lib/client/index.js:4; lib/report_plugins/calibrations.js:3; lib/report_plugins/daytoday.js:5; lib/report_plugins/weektoweek.js:4; tests/fixtures/d3.js:8
easyxml,^2.0.1,2.0.1,dependencies,Keep,Retain public API serializers,APIv3 CSV/XML outputs are used and require quoting/escaping and malicious-input handling.,Medium-high output compatibility,lib/api3/shared/renderer.js:7
ejs,^3.1.8,3.1.10,dependencies,Keep,Retain templates,View engine and explicit render/file consumers; escaping contracts are security relevant.,High UI/security migration,lib/server/app.js:10; lib/server/app.js:161; lib/server/booterror.js:14; lib/server/clocks.js:12; tests/dependency-brace-expansion.test.js:85
entities,^6.0.1,6.0.1,dependencies,Keep,Retain security/authorization implementation,Active HTML parsing/escaping/authentication/permissions/header contracts. Native primitives do not supply equivalent safe behavior.,High security risk for homegrown replacement,lib/server/purifier.js:36; lib/utils/html.js:3; lib/utils/html.js:4
errorhandler,^1.5.1,1.5.2,dependencies,3,Consider dev-only classification with environment branch,Development error middleware is conditional; production omission should align with postinstall/deployment redesign. Tiny benefit.,Low,lib/server/app.js:389
event-stream,3.3.4,3.3.4,dependencies,2,Replace array/stream/array wrappers with local mapping/native streams,"Two source consumers; current endpoints materialize arrays already. Preserve date normalization, mutations, persistence errors and callback-once behavior.",Medium; public entries API,lib/api/entries/index.js:8; lib/server/entries.js:3
expose-loader,^2.0.0,2.0.0,dependencies,3,Move build tooling to dev after deployment changes,Required for bundle build; production postinstall and Azure production-only installs currently need these. Ten-root scenario including file-loader reduces production installed records by262 including unused cleanup.,Medium deployment risk; no automatic server RAM saving,webpack/webpack.config.js:125
express,4.22.2,4.22.2,dependencies,Keep,Retain server framework,Routers/middleware/API and rendering pervasive; migration would increase complexity.,High,lib/api/activity/index.js:9; lib/api/adminnotifiesapi.js:6; lib/api/alexa/index.js:6; lib/api/devicestatus/index.js:37; lib/api/entries/index.js:35; lib/api/experiments/index.js:4; lib/api/food/index.js:8; lib/api/googlehome/index.js:6
express-minify,^1.0.0,1.0.0,dependencies,1,Remove ineffective runtime minification after parity tests,Middleware is mounted after successful static/bundle/page/API routes. Supplied cssmin option ignored by express-minify. Production assets already built.,Low-medium; DEBUG_MINIFY/static/error route parity,lib/server/app.js:370
fast-password-entropy,^1.1.1,1.1.1,dependencies,Keep,Retain or characterize tiny password-policy helper,"Single API_SECRET entropy check, small footprint; copying policy yields little gain and changes acceptance if incorrect.",Medium security policy,lib/server/env.js:7
file-loader,^6.2.0,6.2.0,dependencies,2,Replace with webpack asset/resource; then dev-only,Webpack5 has native asset modules. Preserve emitted filenames/public paths and CSS URL handling; current images are one use. Included in10-root classification scenario.,Low-medium; visual asset/build parity,webpack/webpack.config.js:115
flot,^0.8.3,0.8.3,dependencies,3,Retain until report migration; load reports separately,AGP/report plotting used; global bundle import places report chart code on dashboard. Reusing D3 needs rendering/axis/percentile tests.,High UI/report impact,bundle/bundle.source.js:15
forwarded-for,^1.1.0,1.1.0,dependencies,3,Consolidate then evaluate replacement,Six consumers include raw Socket.IO requests; Express req.ip is not a drop-in and proxy trust/header precedence must be explicit.,Medium-high; address and security semantics,lib/api/status.js:5; lib/api3/alarmSocket.js:4; lib/api3/security.js:6; lib/api3/storageSocket.js:4; lib/authorization/index.js:7; lib/server/websocket.js:6
helmet,^4.0.0,4.6.0,dependencies,Keep,Retain security/authorization implementation,Active HTML parsing/escaping/authentication/permissions/header contracts. Native primitives do not supply equivalent safe behavior.,High security risk for homegrown replacement,lib/server/app.js:56
jquery,^3.5.1,3.7.1,dependencies,1,Retain browser dependency; remove unused server import,Client heavily relies on jQuery; summary basaldataprocessor.js:1 unnecessarily requires it server-side.,Low for unused server import; high for full replacement,bundle/bundle.clocks.source.js:2; bundle/bundle.source.js:5; lib/api2/summary/basaldataprocessor.js:1; lib/client/index.js:3; webpack/webpack.config.js:124; tests/clock-client.test.js:11; tests/daterangedelete.test.js:47; tests/fixtures/dom-globals.js:47
jquery-ui-bundle,^1.12.1-migrate,1.12.1-migrate,dependencies,Keep,Retain; narrow components or migrate deliberately,Dialogs/sliders/drag interactions are used. Native dialogs do not satisfy older iOS browser policy without further work.,High UI/UX impact,bundle/bundle.source.js:7
jquery.tooltips,^1.0.0,1.0.0,dependencies,3,Candidate small local tooltip implementation,"Two initialization sites. Verify positioning, mouse/touch/focus/accessibility and cleanup; separate from pluginbase tooltip listener bug.",Medium UI/UX risk,bundle/bundle.source.js:11
js-storage,^1.1.0,1.1.0,dependencies,2,Candidate thin localStorage compatibility adapter,"get/set/remove across browser consumers. Preserve missing keys, object/primitive serialization, exceptions and raw clock token reads.",Medium; authentication/preferences/report storage,bundle/bundle.source.js:13; lib/client/boluscalc.js:4; lib/client/browser-settings.js:5; lib/client/careportal.js:5; lib/client/hashauth.js:3; lib/client/index.js:7; lib/report/reportstorage.js:1; tests/hashauth.modern.test.js:58
jsonwebtoken,^9.0.0,9.0.3,dependencies,Keep,Retain security/authorization implementation,Active HTML parsing/escaping/authentication/permissions/header contracts. Native primitives do not supply equivalent safe behavior.,High security risk for homegrown replacement,lib/server/enclave.js:5; tests/api.security.test.js:7
memory-cache,^0.2.0,0.2.0,dependencies,3,Consider bounded local TTL cache,Profile functions only use get/put/clear with5-second expiry and reference semantics. Timer-per-key behavior; do not replace with unbounded Map.,Medium; profile/basal calculations,lib/profilefunctions.js:3
mime,^2.4.6,2.6.0,dependencies,Keep,Retain content-type mapping,API3 renderer and extension-to-accept middleware use DB mapping; local table risks format regressions.,Low-medium,lib/api3/shared/renderer.js:4; lib/middleware/express-extension-to-accept.js:1
minimed-connect-to-nightscout,^1.5.8,1.5.8,dependencies,Keep,Retain while legacy integrations supported,Used by configured legacy devices and already lazy-loaded; removal requires feature retirement/migration decision.,High integration compatibility,lib/plugins/mmconnect.js:7; tests/dependency-axios.test.js:9
moment,^2.27.0,2.30.1,dependencies,Keep,Retain pending staged date/time migration,"Broad shared usage, mutable moment objects, zones/DST/localized formatting and therapy schedules. Server Node upgrade does not provide Temporal to old browsers.",High; data/time/math behavior,bin/testdatarunner.js:5; lib/api/activity/index.js:4; lib/api/alexa/index.js:3; lib/api/devicestatus/index.js:4; lib/api/entries/index.js:3; lib/api/googlehome/index.js:3; lib/api/treatments/index.js:4; lib/api3/shared/dateTools.js:3
moment-locales-webpack-plugin,^1.2.0,1.2.0,dependencies,1,Remove unused direct declaration,No application/test/config/script use found. This PR removes four declarations and three installed records; acorn and acorn-jsx remain transitively required.,Low; validate install/build/tests,Tracked-source/config/script scan plus isolated lockfile removal
moment-timezone,^0.5.31,0.5.48,dependencies,Keep,Retain pending staged date/time migration,"Broad shared usage, mutable moment objects, zones/DST/localized formatting and therapy schedules. Server Node upgrade does not provide Temporal to old browsers.",High; data/time/math behavior,bundle/bundle.source.js:20; lib/server/bootevent.js:17; tests/daterangedelete.test.js:6; tests/inithelper.js:2; tools/captured-fixtures/pill-runner.js:46
moment-timezone-data-webpack-plugin,^1.5.0,1.5.1,dependencies,3,Move build tooling to dev after deployment changes,Required for bundle build; production postinstall and Azure production-only installs currently need these. Ten-root scenario including file-loader reduces production installed records by262 including unused cleanup.,Medium deployment risk; no automatic server RAM saving,webpack/webpack.config.js:13
mongo-url-parser,^1.0.2,1.0.2,dependencies,2,Reuse Mongo driver parsing after compatibility tests,Only extracts DB password for API_SECRET comparison. Native URL rejects multi-host Mongo URIs. Existing driver accepts some valid URIs rejected by legacy parser.,Medium; SRV/IPv6/encoded password and errors,lib/server/env.js:5
mongodb,^5.9.2,5.9.2,dependencies,Keep,Retain database driver,"Core storage, ObjectId and pooling/URI/authentication behavior.",High,lib/api3/storage/mongoCollection/utils.js:4; lib/authorization/storage.js:5; lib/server/activity.js:9; lib/server/entries.js:5; lib/server/food.js:4; lib/server/profile.js:9; lib/server/query.js:4; lib/server/treatments.js:11
mongomock,^0.1.2,0.1.2,dependencies,1,Remove unused direct declaration,No application/test/config/script use found. This PR removes four declarations and three installed records; acorn and acorn-jsx remain transitively required.,Low; validate install/build/tests,Tracked-source/config/script scan plus isolated lockfile removal
nightscout-connect,https://github.com/nightscout/nightscout-connect/archive/refs/tags/v0.0.13.tar.gz,0.0.13,dependencies,1,Retain feature; defer loading until enabled,Eager imports load optional integration graphs before configuration checks. Connector guard must follow BRIDGE-to-CONNECT migration.,Low-medium; enabled/disabled integration tests,lib/server/bootevent.js:355; tests/dependency-axios.test.js:10
node-cache,^4.2.1,4.2.1,dependencies,1,Reduce cached payload first; consider TTL helper later,Push notification dedup stores/clones full notifications but needs only presence. Receipt cache needs acknowledgement fields and TTL extension.,"Medium; alarms, dedup and snooze semantics",lib/server/pushnotify.js:4
process,^0.11.10,0.11.10,dependencies,Keep,Retain until browser/server boundary cleanup,Explicit webpack fallback; browser plugin discovery uses process.browser. Node built-ins do not replace browser polyfills.,Medium; bundle/plugin initialization,webpack/webpack.config.js:175
pushover-notifications,^1.2.2,1.2.3,dependencies,1,Retain feature; defer loading until enabled,Eager imports load optional integration graphs before configuration checks. Connector guard must follow BRIDGE-to-CONNECT migration.,Low-medium; enabled/disabled integration tests,lib/plugins/pushover.js:3
random-token,0.0.8,0.0.8,dependencies,1,Replace with native crypto.randomBytes,Only two16-character cache-buster sites. Native randomBytes(8).toString(hex) gives URL-safe16-character values; retain development sentinel.,Low; no Node22 prerequisite,bin/generateCacheBuster.js:2; lib/server/app.js:6
sanitize-html,2.17.5,2.17.5,dependencies,Keep,Retain security/authorization implementation,Active HTML parsing/escaping/authentication/permissions/header contracts. Native primitives do not supply equivalent safe behavior.,High security risk for homegrown replacement,lib/server/purifier.js:35; tests/dependency-postcss.test.js:13; tests/sanitizer-differential.test.js:52
semver,^6.3.0,6.3.1,dependencies,2,Consolidate runtime gate in Node-policy PR,Runtime checks >=16 despite engines>=20; retain semver for accurate engine/prerelease handling or move to dev after a narrow replacement. Still transitively installed.,Medium runtime policy,lib/server/bootevent.js:40; tests/api.root.test.js:9; tests/dependency-babel.test.js:12; tests/dependency-brace-expansion.test.js:9; tests/dependency-js-yaml.test.js:12; tests/dependency-postcss.test.js:11
share2nightscout-bridge,^0.2.12,0.2.12,dependencies,Keep,Retain while legacy integrations supported,Used by configured legacy devices and already lazy-loaded; removal requires feature retirement/migration decision.,High integration compatibility,lib/plugins/bridge.js:69
shiro-trie,^0.4.9,0.4.10,dependencies,Keep,Retain security/authorization implementation,Active HTML parsing/escaping/authentication/permissions/header contracts. Native primitives do not supply equivalent safe behavior.,High security risk for homegrown replacement,lib/api3/security.js:4; lib/authorization/index.js:3; lib/authorization/storage.js:4; lib/client/index.js:5; tests/notifications-v2.test.js:7
